device_id,start_cycle,end_cycle,total_cycles,avg_health_score,final_rul,init_state
1,1,192,192,26.45,0,报警
2,1,287,287,39.61,0,报警
3,1,179,179,24.65,0,报警
4,1,189,189,26.04,0,报警
5,1,269,269,37.12,0,报警
6,1,188,188,25.9,0,报警
7,1,259,259,35.73,0,报警
8,1,150,150,20.64,0,报警
9,1,201,201,27.7,0,报警
10,1,222,222,30.61,0,报警
11,1,240,240,33.1,0,报警
12,1,170,170,23.41,0,报警
13,1,163,163,22.44,0,报警
14,1,180,180,24.79,0,报警
15,1,207,207,28.53,0,报警
16,1,209,209,28.81,0,报警
17,1,276,276,38.09,0,报警
18,1,195,195,26.87,0,报警
19,1,158,158,21.75,0,报警
20,1,234,234,32.27,0,报警
21,1,195,195,26.87,0,报警
22,1,202,202,27.84,0,报警
23,1,168,168,23.13,0,报警
24,1,147,147,20.22,0,报警
25,1,230,230,31.72,0,报警
26,1,199,199,27.42,0,报警
27,1,156,156,21.47,0,报警
28,1,165,165,22.71,0,报警
29,1,163,163,22.44,0,报警
30,1,194,194,26.73,0,报警
31,1,234,234,32.27,0,报警
32,1,191,191,26.32,0,报警
33,1,200,200,27.56,0,报警
34,1,195,195,26.87,0,报警
35,1,181,181,24.93,0,报警
36,1,158,158,21.75,0,报警
37,1,170,170,23.41,0,报警
38,1,194,194,26.73,0,报警
39,1,128,128,17.59,0,报警
40,1,188,188,25.9,0,报警
41,1,216,216,29.78,0,报警
42,1,196,196,27.01,0,报警
43,1,207,207,28.53,0,报警
44,1,192,192,26.45,0,报警
45,1,158,158,21.75,0,报警
46,1,256,256,35.32,0,报警
47,1,214,214,29.5,0,报警
48,1,231,231,31.86,0,报警
49,1,215,215,29.64,0,报警
50,1,198,198,27.29,0,报警
51,1,213,213,29.36,0,报警
52,1,213,213,29.36,0,报警
53,1,195,195,26.87,0,报警
54,1,257,257,35.46,0,报警
55,1,193,193,26.59,0,报警
56,1,275,275,37.95,0,报警
57,1,137,137,18.84,0,报警
58,1,147,147,20.22,0,报警
59,1,231,231,31.86,0,报警
60,1,172,172,23.68,0,报警
61,1,185,185,25.48,0,报警
62,1,180,180,24.79,0,报警
63,1,174,174,23.96,0,报警
64,1,283,283,39.06,0,报警
65,1,153,153,21.05,0,报警
66,1,202,202,27.84,0,报警
67,1,313,313,43.21,0,报警
68,1,199,199,27.42,0,报警
69,1,362,362,50.0,0,报警
70,1,137,137,18.84,0,报警
71,1,208,208,28.67,0,报警
72,1,213,213,29.36,0,报警
73,1,213,213,29.36,0,报警
74,1,166,166,22.85,0,报警
75,1,229,229,31.58,0,报警
76,1,210,210,28.95,0,报警
77,1,154,154,21.19,0,报警
78,1,231,231,31.86,0,报警
79,1,199,199,27.42,0,报警
80,1,185,185,25.48,0,报警
81,1,240,240,33.1,0,报警
82,1,214,214,29.5,0,报警
83,1,293,293,40.44,0,报警
84,1,267,267,36.84,0,报警
85,1,188,188,25.9,0,报警
86,1,278,278,38.37,0,报警
87,1,178,178,24.52,0,报警
88,1,213,213,29.36,0,报警
89,1,217,217,29.92,0,报警
90,1,154,154,21.19,0,报警
91,1,135,135,18.56,0,报警
92,1,341,341,47.09,0,报警
93,1,155,155,21.33,0,报警
94,1,258,258,35.6,0,报警
95,1,283,283,39.06,0,报警
96,1,336,336,46.4,0,报警
97,1,202,202,27.84,0,报警
98,1,156,156,21.47,0,报警
99,1,185,185,25.48,0,报警
100,1,200,200,27.56,0,报警
