unit,cycle,rul,health_score,health_grade,anomaly_label,op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,sensor_2_norm,sensor_3_norm,sensor_4_norm,sensor_6_norm,sensor_7_norm,sensor_8_norm,sensor_9_norm,sensor_11_norm,sensor_12_norm,sensor_13_norm,sensor_14_norm,sensor_15_norm,sensor_17_norm,sensor_20_norm,sensor_21_norm,op_setting_1_norm,op_setting_2_norm
1,1,191,52.91,注意,0,-0.0007,-0.0004,641.82,1589.7,1400.6,21.61,554.36,2388.06,9046.19,47.47,521.66,2388.02,8138.62,8.4195,392,39.06,23.419,0.183735,0.406802,0.309757,1.0,0.726248,0.242424,0.109755,0.369048,0.633262,0.205882,0.199608,0.363986,0.333333,0.713178,0.724662,0.45977,0.166667
1,2,190,52.63,注意,0,0.0019,-0.0003,642.15,1591.82,1403.14,21.61,553.75,2388.04,9044.07,47.49,522.28,2388.07,8131.49,8.4318,392,39.0,23.4236,0.283133,0.453019,0.352633,1.0,0.628019,0.212121,0.100242,0.380952,0.765458,0.279412,0.162813,0.411312,0.333333,0.666667,0.731014,0.609195,0.25
1,3,189,52.35,注意,0,-0.0043,0.0003,642.35,1587.99,1404.2,21.61,554.26,2388.08,9052.94,47.27,522.42,2388.03,8133.23,8.4178,390,38.95,23.3442,0.343373,0.369523,0.370527,1.0,0.710145,0.272727,0.140043,0.25,0.795309,0.220588,0.171793,0.357445,0.166667,0.627907,0.621375,0.252874,0.75
1,4,188,52.08,注意,0,0.0007,0.0,642.35,1582.79,1401.87,21.61,554.45,2388.11,9049.48,47.13,522.86,2388.08,8133.83,8.3682,392,38.88,23.3739,0.343373,0.256159,0.331195,1.0,0.740741,0.318182,0.124518,0.166667,0.889126,0.294118,0.174889,0.166603,0.333333,0.573643,0.662386,0.54023,0.5
1,5,187,51.8,注意,0,-0.0019,-0.0002,642.37,1582.85,1406.22,21.61,554.0,2388.06,9055.15,47.28,522.19,2388.04,8133.8,8.4294,393,38.9,23.4044,0.349398,0.257467,0.404625,1.0,0.668277,0.242424,0.14996,0.255952,0.746269,0.235294,0.174734,0.402078,0.416667,0.589147,0.704502,0.390805,0.333333
1,6,186,51.52,注意,0,-0.0043,-0.0001,642.1,1584.47,1398.37,21.61,554.67,2388.02,9049.68,47.16,521.68,2388.03,8132.85,8.4108,391,38.98,23.3669,0.268072,0.292784,0.272113,1.0,0.776167,0.181818,0.125415,0.184524,0.637527,0.220588,0.169832,0.330512,0.25,0.651163,0.65272,0.252874,0.416667
1,7,185,51.25,注意,0,0.001,0.0001,642.48,1592.32,1397.77,21.61,554.34,2388.02,9059.13,47.36,522.32,2388.03,8132.32,8.3974,392,39.1,23.3774,0.38253,0.46392,0.261985,1.0,0.723027,0.181818,0.167818,0.303571,0.773987,0.220588,0.167097,0.278953,0.333333,0.744186,0.667219,0.557471,0.583333
1,8,184,50.97,注意,0,-0.0034,0.0003,642.56,1582.96,1400.97,21.61,553.85,2388.0,9040.8,47.24,522.47,2388.03,8131.07,8.4076,391,38.97,23.3106,0.406627,0.259865,0.316003,1.0,0.644122,0.151515,0.085569,0.232143,0.80597,0.220588,0.160646,0.318199,0.25,0.643411,0.574979,0.304598,0.75
1,9,183,50.69,注意,0,0.0008,0.0001,642.12,1590.98,1394.8,21.61,553.69,2388.05,9046.46,47.29,521.79,2388.05,8125.69,8.3728,392,39.05,23.4066,0.274096,0.434707,0.21185,1.0,0.618357,0.227273,0.110967,0.261905,0.660981,0.25,0.132883,0.184302,0.333333,0.705426,0.707539,0.545977,0.583333
1,10,182,50.42,注意,0,-0.0033,0.0001,641.71,1591.24,1400.46,21.61,553.59,2388.05,9051.7,47.03,521.79,2388.06,8129.38,8.4286,393,38.95,23.4694,0.150602,0.440375,0.307394,1.0,0.602254,0.227273,0.134479,0.107143,0.660981,0.264706,0.151925,0.399,0.416667,0.627907,0.794256,0.310345,0.583333
